" Número de nacimientos"
"Datos de: Variable=Nacimientos (Total)"
"Variable",,"Nacimientos (Total)",
,,Valor,
Año,Provincia,Sum,
,"SALAMANCA",        2632,
,"SEGOVIA",        1411,
,"SORIA",         727,
,"VALLADOLID",        4577,
,"ZAMORA",        1160,

"2006","AVILA",        1358,
,"BURGOS",        3123,
,"LEON",        3294,
,"PALENCIA",        1248,
,"SALAMANCA",        2629,
,"SEGOVIA",        1421,
,"SORIA",         720,
,"VALLADOLID",        4792,
,"ZAMORA",        1190,

"2007","AVILA",        1339,
,"BURGOS",        3250,
,"LEON",        3515,
,"PALENCIA",        1208,
,"SALAMANCA",        2770,
,"SEGOVIA",        1422,
,"SORIA",         693,
,"VALLADOLID",        4736,
,"ZAMORA",        1144,

"2008","AVILA",        1526,
,"BURGOS",        3525,
,"LEON",        3511,
,"PALENCIA",        1278,
,"SALAMANCA",        2899,
,"SEGOVIA",        1530,
,"SORIA",         772,
,"VALLADOLID",        5054,
,"ZAMORA",        1216,

"2009","AVILA",        1457,
,"BURGOS",        3311,
,"LEON",        3485,
,"PALENCIA",        1231,
,"SALAMANCA",        2661,
,"SEGOVIA",        1458,
,"SORIA",         739,
,"VALLADOLID",        4923,
,"ZAMORA",        1151,

"2010","AVILA",        1408,
,"BURGOS",        3360,
,"LEON",        3438,
,"PALENCIA",        1187,
,"SALAMANCA",        2618,
,"SEGOVIA",        1446,
,"SORIA",         748,
,"VALLADOLID",        5099,
,"ZAMORA",        1182,

"2011","AVILA",        1344,
,"BURGOS",        3304,
,"LEON",        3333,
,"PALENCIA",        1227,
,"SALAMANCA",        2651,
,"SEGOVIA",        1419,
,"SORIA",         707,
,"VALLADOLID",        4757,
,"ZAMORA",        1120,

"2012","AVILA",        1255,
,"BURGOS",        3123,
,"LEON",        3200,
,"PALENCIA",        1162,
,"SALAMANCA",        2508,
,"SEGOVIA",        1319,
,"SORIA",         707,
,"VALLADOLID",        4655,
,"ZAMORA",        1117,

"2013","AVILA",        1157,
,"BURGOS",        2999,
,"LEON",        3044,
,"PALENCIA",        1148,
,"SALAMANCA",        2263,
,"SEGOVIA",        1185,
,"SORIA",         666,
,"VALLADOLID",        4316,
